Well ID,Well type code,well_number,Field_Name,Operator,latitude,longitude,Measured_Depth,Drilling_Start,Drilling_end,Completion_Date,Reservoir,play_name,state_name,well_cost
8.79901E+13,V,x-1,El Sosneado (ESO),Petroquimica Comodoro Rivadavia,-35.01468,-69.60341,12270,4/21/1978,8/26/1978,10/17/1978,Unassigned,Unassigned,Mendoza,1245325.38
8.79901E+13,V,x-4,El Sosneado (ESO),Petroquimica Comodoro Rivadavia,-34.98428,-69.5768,10597,1/13/1980,4/22/1980,5/20/1980,Unassigned,Unassigned,Mendoza,1184338.395
8.79901E+13,UN,CH-16,Cha„ëares Herrados (CHA),Cha„ëares Herrados,-33.378403,-68.984639,10534,NULL,NULL,NULL,Barrancas,Unassigned,Mendoza,1661115.734
8.79901E+13,UN,CH-29,Cha„ëares Herrados (CHA),Cha„ëares Herrados,-33.343014,-68.988294,10718,NULL,NULL,NULL,Rio Blanco,Unassigned,Mendoza,1785953.561
8.79901E+13,UN,CH-1014,Cha„ëares Herrados (CHA),Cha„ëares Herrados,-33.353681,-68.979989,10597,NULL,NULL,NULL,Barrancas,Unassigned,Mendoza,1538645.874
8.79901E+13,UN,CH-1019,Cha„ëares Herrados (CHA),Cha„ëares Herrados,-33.347153,-68.976128,11909,NULL,NULL,NULL,Barrancas,Unassigned,Mendoza,1696951.335
8.79901E+13,UN,CH-1021,Cha„ëares Herrados (CHA),Cha„ëares Herrados,-33.3472,-68.9717,11929,NULL,NULL,NULL,Barrancas,Unassigned,Mendoza,2067792.537
8.79901E+13,UN,CH-1022,Cha„ëares Herrados (CHA),Cha„ëares Herrados,-33.326764,-68.978153,11729,NULL,NULL,NULL,Barrancas,Unassigned,Mendoza,2028139.552
8.79901E+13,UN,x-1,Atuel Norte (ATA),Tecpetrol,-35.1463853,-69.4416975,6418,5/17/1985,6/26/1985,7/12/1985,Unassigned,Unassigned,Mendoza,614919.3287
8.79901E+13,UN,JCP-10,Jag„úel Casa De Piedra (JGCP),Pluspetrol,-37.40258988,-68.44268695,2132,NULL,NULL,NULL,Centenario,Unassigned,Mendoza,305885.4429
8.79901E+13,UN,JCP-26,Jag„úel Casa De Piedra (JGCP),Pluspetrol,-37.38986,-68.44329,2214,NULL,NULL,NULL,Centenario,Unassigned,Mendoza,381081.5413
8.79901E+13,UN,a-7,El Corcobo Norte (ECCN),Pluspetrol,-37.45696,-68.27023,2326,NULL,NULL,NULL,Centenario,Unassigned,Mendoza,371651.7008
8.79901E+13,V,x-1,Confluencia Sur (CFS),San Jorge Petroleum,-36.95174,-69.60058,8576,10/30/1995,12/14/1995,1/30/1996,Unassigned,Unassigned,Mendoza,1139600.059
8.79901E+13,V,SRE-8,Confluencia Sur (CFS),San Jorge Petroleum,-36.95651,-69.58323,7381,3/10/1997,4/11/1997,4/21/1997,Unassigned,Unassigned,Mendoza,784843.416
8.79903E+13,UN,VG-3,Vega Grande (VEG),Grecoil Y Cia. S.R.L.,-34.669,-69.6632,8887,NULL,NULL,NULL,Agrio,Unassigned,Mendoza,1055181.744
8.79904E+13,UN,CoMOx-1,Cerro Mollar Oeste (cmo),Petrolera El Trebol,-35.36931,-69.72712,11118,NULL,NULL,NULL,Unassigned,Unassigned,Mendoza,1471492.821
8.79904E+13,UN,CoMa-22,Cerro Mollar (mol),Petrolera El Trebol,-35.35561,-69.71975,8723,NULL,NULL,NULL,Unassigned,Unassigned,Mendoza,1122970.596
8.79904E+13,UN,CoMa-29,Cerro Mollar (mol),Petrolera El Trebol,-35.30067,-69.71578,8372,NULL,NULL,NULL,Agrio,Unassigned,Mendoza,1121762.194
8.79904E+13,UN,CoMa-30,Cerro Mollar (mol),Petrolera El Trebol,-35.3371,-69.72206,8208,NULL,NULL,NULL,Agrio,Unassigned,Mendoza,1016092.694
8.79904E+13,UN,CoMa-7,Cerro Mollar (mol),Petrolera El Trebol,-35.31392,-69.70718,4596,NULL,NULL,NULL,Agrio,Unassigned,Mendoza,455788.22
8.79904E+13,UN,CoMa-9,Cerro Mollar (mol),Petrolera El Trebol,-35.32477,-69.70411,7683,NULL,NULL,NULL,Agrio,Unassigned,Mendoza,899660.8931
8.79904E+13,UN,PRoe-10,Puesto Rojas (PRO),Petrolera El Trebol,-35.24737,-69.67863,6450,NULL,NULL,NULL,Chachao,Unassigned,Mendoza,830616.5065
8.79904E+13,UN,A-5,Atamisqui (ata),Petrolera El Trebol,-33.54679,-68.71263,7303,NULL,NULL,NULL,Unassigned,Unassigned,Mendoza,824775.0605
8.79904E+13,UN,A-9,Atamisqui (ata),Petrolera El Trebol,-33.5197,-68.69997,7657,NULL,NULL,NULL,Rio Blanco,Unassigned,Mendoza,1208963.951
8.79904E+13,UN,A-11,Atamisqui (ata),Petrolera El Trebol,-33.53086,-68.70643,7545,NULL,NULL,NULL,Barrancas,Unassigned,Mendoza,1180992.751
8.79904E+13,UN,A-1004,Atamisqui (ata),Petrolera El Trebol,-33.53317,-68.70417,7696,NULL,NULL,NULL,Barrancas,Unassigned,Mendoza,1123995.874
8.79904E+13,UN,A-1006,Atamisqui (ata),Petrolera El Trebol,-33.53397,-68.70941,7454,NULL,NULL,NULL,Rio Blanco,Unassigned,Mendoza,1068383.891
8.79904E+13,UN,x-10,El Quemado (QEM),Petrolera El Trebol,-33.59352,-68.56901,7188,NULL,NULL,NULL,Unassigned,Unassigned,Mendoza,1054379.486
8.79904E+13,UN,PRo-42,Puesto Rojas (PRO),Petrolera El Trebol,-35.25889,-69.68461,6259,NULL,NULL,NULL,Chachao,Unassigned,Mendoza,645720.954
8.79904E+13,UN,PRo-52,Puesto Rojas (PRO),Petrolera El Trebol,-35.19213,-69.67776,7119,NULL,NULL,NULL,Unassigned,Unassigned,Mendoza,863540.1994
8.79904E+13,UN,PRoe-7,Puesto Rojas (PRO),Petrolera El Trebol,-35.22676,-69.68554,6791,NULL,NULL,NULL,Chachao,Unassigned,Mendoza,822084.4855
8.79904E+13,UN,PRoa-8,Puesto Rojas (PRO),Petrolera El Trebol,-35.23158,-69.69286,7135,NULL,NULL,NULL,Chachao,Unassigned,Mendoza,705668.7302
8.79904E+13,UN,PRoes-1,Puesto Rojas (PRO),Petrolera El Trebol,-35.26153,-69.68827,6167,NULL,NULL,NULL,Chachao,Unassigned,Mendoza,658195.0735
8.79904E+13,UN,PPchx-1,Puesto Adobe (PUAD),Petrolera El Trebol,-35.39648,-69.70187,8792,NULL,NULL,NULL,Unassigned,Unassigned,Mendoza,942475.4326
8.79905E+13,UN,x-2,Cajon De Los Caballos (CAJ),Roch,-36.117301,-69.522801,6453,NULL,NULL,NULL,Precuyo,Unassigned,Mendoza,790559.7402
8.79905E+13,UN,NCC-101,Cajon De Los Caballos (CAJ),Roch,-36.119201,-69.555601,4206,NULL,NULL,NULL,Pircala,Unassigned,Mendoza,363395.1844
8.79905E+13,UN,x-3,Cajon De Molina (MLN),Roch,-36.145201,-69.522001,6341,NULL,NULL,NULL,Chachao,Unassigned,Mendoza,404545.8914
8.79905E+13,UN,NCM-8,Cajon De Molina (MLN),Roch,-36.159501,-69.517401,6853,NULL,NULL,NULL,Chachao,Unassigned,Mendoza,326150.7197
8.79905E+13,UN,a-14,Cajon De Molina (MLN),Roch,-36.149901,-69.512401,5216,NULL,NULL,NULL,Chachao,Unassigned,Mendoza,241615.2149
8.79905E+13,UN,NCM-21,Cajon De Molina (MLN),Roch,-36.162701,-69.518101,5088,NULL,NULL,NULL,Chachao,Unassigned,Mendoza,262401.649
8.79905E+13,V,x-1,Rincon Amarillo (RIA),YPF SA,-36.1294917,-69.34704577,6561,10/10/1989,12/2/1989,NULL,Unassigned,Unassigned,Mendoza,623226.1244
8.79906E+13,UN,C-13,Cacheuta (CAC),Sinopec Argentina Exploration & Production,-33.10139,-69.11623,3536,NULL,NULL,NULL,Potrerillos,Unassigned,Mendoza,357056.4761
8.79906E+13,UN,C-15,Cacheuta (CAC),Sinopec Argentina Exploration & Production,-33.11102,-69.13045,4242,NULL,NULL,NULL,Potrerillos,Unassigned,Mendoza,483891.1596
8.79906E+13,UN,C-17,Cacheuta (CAC),Sinopec Argentina Exploration & Production,-33.09152,-69.13258,2831,NULL,NULL,NULL,Potrerillos,Unassigned,Mendoza,399406.5006
8.79906E+13,UN,C-3,Cacheuta (CAC),Sinopec Argentina Exploration & Production,-33.10376,-69.11683,2171,NULL,NULL,NULL,Potrerillos,Unassigned,Mendoza,302523.9641
8.79906E+13,UN,C-44,Cacheuta (CAC),Sinopec Argentina Exploration & Production,-33.10498,-69.13116,3028,NULL,NULL,NULL,Potrerillos,Unassigned,Mendoza,377619.2229
8.79906E+13,UN,C-5,Cacheuta (CAC),Sinopec Argentina Exploration & Production,-33.09587,-69.11111,3218,NULL,NULL,NULL,Potrerillos,Unassigned,Mendoza,374060.3051
8.79906E+13,UN,C-79,Cacheuta (CAC),Sinopec Argentina Exploration & Production,-33.09168,-69.13149,3303,NULL,NULL,NULL,Potrerillos,Unassigned,Mendoza,405660.7825
8.79907E+13,UN,EI-17,Cacheuta (CAC),Sinopec Argentina Exploration & Production,-33.19986,-69.0583,8146,NULL,NULL,NULL,Rio Blanco,Unassigned,Mendoza,1078385.683
8.79907E+13,V,x-1,Agua Botada (BOT),Roch,-35.85499444,-69.65618889,8530,12/18/1980,3/9/1981,5/25/1981,Unassigned,Unassigned,Mendoza,862655.5969
8.79907E+13,UN,LHX-2,Cacheuta (CAC),Sinopec Argentina Exploration & Production,-33.10701,-69.18658,9094,NULL,NULL,NULL,Potrerillos,Unassigned,Mendoza,1183306.749
8.79907E+13,UN,LPX-11,Cacheuta (CAC),Sinopec Argentina Exploration & Production,-33.16735,-69.08465,11384,NULL,NULL,NULL,Villavicencio,Unassigned,Mendoza,1804558.421
8.79907E+13,UN,LPX-2,Cacheuta (CAC),Sinopec Argentina Exploration & Production,-33.15093,-69.09567,9678,NULL,NULL,NULL,Potrerillos,Unassigned,Mendoza,1341689.059
8.79907E+13,UN,LPX-6,Cacheuta (CAC),Sinopec Argentina Exploration & Production,-33.17362,-69.13676,6860,NULL,NULL,NULL,Cacheuta,Unassigned,Mendoza,999072.6926
8.79907E+13,UN,PCo-1012,Piedras Coloradas (PCO),Sinopec Argentina Exploration & Production,-33.31568,-69.02011,8021,NULL,NULL,NULL,Barrancas,Unassigned,Mendoza,972506.3241
8.79907E+13,UN,PCo-104,Piedras Coloradas (PCO),Sinopec Argentina Exploration & Production,-33.29313,-69.04713,15104,NULL,NULL,NULL,Barrancas,Unassigned,Mendoza,2738339.782
8.79907E+13,UN,PCo-105,Piedras Coloradas (PCO),Sinopec Argentina Exploration & Production,-33.26185,-69.03485,9091,NULL,NULL,NULL,Barrancas,Unassigned,Mendoza,1413901.677
8.79907E+13,UN,PCo-107,Piedras Coloradas (PCO),Sinopec Argentina Exploration & Production,-33.2703,-69.03217,8389,NULL,NULL,NULL,Barrancas,Unassigned,Mendoza,1269045.807
8.79907E+13,UN,PCo-117,Piedras Coloradas (PCO),Sinopec Argentina Exploration & Production,-33.328,-69.03216,9235,NULL,NULL,NULL,Barrancas,Unassigned,Mendoza,1487740.718
8.79907E+13,UN,PCo-3008,Piedras Coloradas (PCO),Sinopec Argentina Exploration & Production,-33.20398,-69.08195,10269,NULL,NULL,NULL,Cacheuta,Unassigned,Mendoza,1846415.473
8.79907E+13,UN,PCo-3011,Piedras Coloradas (PCO),Sinopec Argentina Exploration & Production,-33.23805,-69.07417,8996,NULL,NULL,NULL,Rio Blanco,Unassigned,Mendoza,1166292.468
8.79907E+13,UN,PCo-33,Piedras Coloradas (PCO),Sinopec Argentina Exploration & Production,-33.30302,-69.01051,NULL,NULL,NULL,NULL,Rio Blanco,Unassigned,Mendoza,910990.5026
8.79907E+13,UN,PCo-40,Piedras Coloradas (PCO),Sinopec Argentina Exploration & Production,-33.28424,-69.02965,6742,NULL,NULL,NULL,Bajo Barreal,Unassigned,Mendoza,995853.8949
8.79907E+13,UN,PCo-42,Piedras Coloradas (PCO),Sinopec Argentina Exploration & Production,-33.28404,-69.03618,6476,NULL,NULL,NULL,Bajo Barreal,Unassigned,Mendoza,977414.9274
8.79907E+13,UN,PCo-44,Piedras Coloradas (PCO),Sinopec Argentina Exploration & Production,-33.29337,-69.02973,6679,NULL,NULL,NULL,Rio Blanco,Unassigned,Mendoza,933905.1808
8.79907E+13,UN,PCo-45,Piedras Coloradas (PCO),Sinopec Argentina Exploration & Production,-33.29858,-69.02717,6870,NULL,NULL,NULL,Rio Blanco,Unassigned,Mendoza,745270.2901
8.79907E+13,UN,PCo-8,Piedras Coloradas (PCO),Sinopec Argentina Exploration & Production,-33.31242,-69.0493,7086,NULL,NULL,NULL,Bajo Barreal,Unassigned,Mendoza,1155216.086
8.79907E+13,UN,PCo-84,Piedras Coloradas (PCO),Sinopec Argentina Exploration & Production,-33.3175,-69.00735,8398,NULL,NULL,NULL,Barrancas,Unassigned,Mendoza,1261117.577
8.79907E+13,UN,PCo-86,Piedras Coloradas (PCO),Sinopec Argentina Exploration & Production,-33.31413,-68.99822,9402,NULL,NULL,NULL,Rio Blanco,Unassigned,Mendoza,1135523.306
8.79907E+13,UN,PCo-88,Piedras Coloradas (PCO),Sinopec Argentina Exploration & Production,-33.2647,-69.01508,8871,NULL,NULL,NULL,Barrancas,Unassigned,Mendoza,1431398.216
8.79907E+13,UN,PCo-93,Piedras Coloradas (PCO),Sinopec Argentina Exploration & Production,-33.32319,-69.00522,9245,NULL,NULL,NULL,Rio Blanco,Unassigned,Mendoza,1124048.659
8.79907E+13,V,PCo-3005,Piedras Coloradas (PCO),Sinopec Argentina Exploration & Production,-33.30341,-68.97718,10006,5/28/2005,6/28/2005,7/8/2005,Bajo Barreal,Unassigned,Mendoza,1416197.419
8.79907E+13,V,NPH-130,Puesto Hernandez (HER),YPF SA,-37.29491,-69.0424,3484,NULL,NULL,NULL,Agrio,Unassigned,Mendoza,274555.0548
8.79907E+13,V,NPH-133,Puesto Hernandez (HER),YPF SA,-37.28581,-69.0311,3894,NULL,NULL,NULL,Agrio,Unassigned,Mendoza,330819.8662
8.79907E+13,V,IA-175,Puesto Hernandez (HER),YPF SA,-37.29721,-69.0336,4032,NULL,NULL,NULL,Agrio,Unassigned,Mendoza,330775.7715
8.79907E+13,V,NPH-187,Puesto Hernandez (HER),YPF SA,-37.30511,-69.042,3585,NULL,NULL,NULL,Agrio,Unassigned,Mendoza,311316.8831
8.79907E+13,V,NPH-1008,Puesto Hernandez (HER),YPF SA,-37.28971,-69.0313,3904,NULL,NULL,NULL,Agrio,Unassigned,Mendoza,362162.7399
8.79907E+13,V,NPH-1070,Puesto Hernandez (HER),YPF SA,-37.27441,-69.0344,3585,NULL,NULL,NULL,Agrio,Unassigned,Mendoza,324028.3473
8.79907E+13,V,NPH-1071,Puesto Hernandez (HER),YPF SA,-37.27911,-69.0398,3379,NULL,NULL,NULL,Agrio,Unassigned,Mendoza,318472.4177
8.79907E+13,V,NPH-1073,Puesto Hernandez (HER),YPF SA,-37.28361,-69.0343,3546,NULL,NULL,NULL,Agrio,Unassigned,Mendoza,265880.5992
8.79907E+13,V,NPH-1128,Puesto Hernandez (HER),YPF SA,-37.27041,-69.0248,3625,NULL,NULL,NULL,Agrio,Unassigned,Mendoza,329235.2723
8.79907E+13,V,NPH-1194h,Puesto Hernandez (HER),YPF SA,-37.27771,-69.0318,5118,NULL,NULL,NULL,Agrio,Unassigned,Mendoza,455579.6645
8.79907E+13,V,NPH-1203h,Puesto Hernandez (HER),YPF SA,-37.30571,-69.0387,4304,NULL,NULL,NULL,Agrio,Unassigned,Mendoza,399050.285
8.79907E+13,V,NPH-1798,Puesto Hernandez (HER),YPF SA,-37.25221,-69.0225,3054,NULL,NULL,NULL,Rayoso,Unassigned,Mendoza,394451.2423
8.79908E+13,UN,T-1,Tupungato (TU2),Petrolera El Trebol,-33.29401,-69.07741,830,NULL,NULL,NULL,La Pilona,Unassigned,Mendoza,193151.797
8.79908E+13,UN,T-13,Tupungato (TU2),Petrolera El Trebol,-33.28756,-69.07083,1463,NULL,NULL,NULL,La Pilona,Unassigned,Mendoza,257002.5615
8.79908E+13,UN,T-14,Tupungato (TU2),Petrolera El Trebol,-33.29155,-69.07127,1400,NULL,NULL,NULL,La Pilona,Unassigned,Mendoza,222967.7404
8.79908E+13,UN,T-31,Tupungato (TU2),Petrolera El Trebol,-33.29037,-69.06427,6968,NULL,NULL,NULL,Rio Blanco,Unassigned,Mendoza,1151058.076
8.79908E+13,UN,T-42,Tupungato (TU2),Petrolera El Trebol,-33.27864,-69.05467,6043,NULL,NULL,NULL,Rio Blanco,Unassigned,Mendoza,865655.82
8.79908E+13,UN,T-50,Tupungato (TU2),Petrolera El Trebol,-33.2894,-69.06124,9583,NULL,NULL,NULL,Rio Blanco,Unassigned,Mendoza,1568532.671
8.79908E+13,UN,T-51,Tupungato (TU2),Petrolera El Trebol,-33.27994,-69.05762,9314,NULL,NULL,NULL,Rio Blanco,Unassigned,Mendoza,1433022.181
8.79908E+13,UN,T-77,Tupungato (TU2),Petrolera El Trebol,-33.28477,-69.05148,7496,NULL,NULL,NULL,Rio Blanco,Unassigned,Mendoza,1124853.761
8.79908E+13,UN,TR-10,Refugio (TUP),Petrolera El Trebol,-33.24631,-69.09052,7152,NULL,NULL,NULL,Rio Blanco,Unassigned,Mendoza,1004367.733
8.79908E+13,UN,TR-19,Refugio (TUP),Petrolera El Trebol,-33.252,-69.09237,6929,NULL,NULL,NULL,Rio Blanco,Unassigned,Mendoza,920314.4908
8.79908E+13,UN,TR-20,Refugio (TUP),Petrolera El Trebol,-33.25971,-69.10201,7690,NULL,NULL,NULL,Unassigned,Unassigned,Mendoza,1120479.583
8.79908E+13,UN,es-1005,Refugio (TUP),Petrolera El Trebol,-33.29321,-69.07307,1706,NULL,NULL,NULL,Unassigned,Unassigned,Mendoza,253183.8103
8.79908E+13,UN,TR-1010,Refugio (TUP),Petrolera El Trebol,-33.24361,-69.09565,7896,NULL,NULL,NULL,Unassigned,Unassigned,Mendoza,1011173.845
8.79908E+13,UN,TR-1014,Tupungato (TU2),Petrolera El Trebol,-33.29677,-69.06384,6830,NULL,NULL,NULL,Rio Blanco,Unassigned,Mendoza,1087723.071
8.79908E+13,V,NPH-1802,Puesto Hernandez (HER),YPF SA,-37.27491,-69.0039,3681,NULL,NULL,NULL,Agrio,Unassigned,Mendoza,340916.6097
8.79908E+13,V,NPH-1840d,Puesto Hernandez (HER),YPF SA,-37.27281,-69.022,3690,NULL,NULL,NULL,Agrio,Unassigned,Mendoza,316847.4818
8.79908E+13,V,NPH-1842d,Puesto Hernandez (HER),YPF SA,-37.27461,-69.0141,3710,NULL,NULL,NULL,Agrio,Unassigned,Mendoza,315293.848
8.79908E+13,UN,x-1,Atamisqui Sur (ATAS),Petrolera El Trebol,-33.54079,-68.70183,7549,NULL,NULL,NULL,Rio Blanco,Unassigned,Mendoza,1172767.894
8.79908E+13,UN,x-1,Tierras Blancas (TIBL),Petrolera El Trebol,-33.38025,-68.83119,12814,NULL,NULL,NULL,Unassigned,Unassigned,Mendoza,1594838.086
8.79908E+13,V,x-1,Rincon De Correa (RICO),YPF SA,-37.09538257,-69.61668734,NULL,10/21/1991,12/31/1991,NULL,Unassigned,Unassigned,Mendoza,646236.0631
8.79909E+13,V,S-133,El Sosneado (ESO),Petroquimica Comodoro Rivadavia,-35.05007,-69.40231,3756,2/7/1997,2/14/1997,2/20/1997,Loncoche,Unassigned,Mendoza,485369.0751
8.7991E+13,UN,ECN-24,El Corcobo Norte (ECCN),Pluspetrol,-37.45468062,-68.29039474,2362,NULL,NULL,NULL,Centenario,Unassigned,Mendoza,390471.4373
8.79911E+13,V,a-14,Desfiladero Bayo Este (Z120),YPF SA,-37.30856024,-68.94628063,3658,1/11/2005,1/27/2005,3/1/2005,Agrio,Unassigned,Mendoza,452764.8571
8.79911E+13,V,NDBE-13,Desfiladero Bayo Este (Z120),YPF SA,-37.31705924,-68.96379057,3280,1/6/2005,1/19/2005,2/22/2005,Rayoso,Unassigned,Mendoza,438560.549
8.79911E+13,V,a-27,Desfiladero Bayo Este (Z120),YPF SA,-37.29936211,-68.95636674,3992,5/15/2005,5/31/2005,6/10/2005,Rayoso,Unassigned,Mendoza,437743.8013
8.79911E+13,V,NDBE-19,Desfiladero Bayo Este (Z120),YPF SA,-37.31152399,-68.95389951,2618,7/30/2005,8/10/2005,8/31/2005,Rayoso,Unassigned,Mendoza,265818.4072
8.79911E+13,V,NDBE-18,Desfiladero Bayo Este (Z120),YPF SA,-37.32064041,-68.95193606,3274,8/17/2005,8/29/2005,10/23/2005,Rayoso,Unassigned,Mendoza,415724.5873
8.79911E+13,V,NPM-24,Pata Mora (Z274),YPF SA,-37.14368128,-69.17114793,2365,11/10/2005,11/24/2005,12/31/2005,Unassigned,Unassigned,Mendoza,245185.3814
8.79911E+13,V,NDBE-8,Desfiladero Bayo Este (Z120),YPF SA,-37.31842158,-68.95389541,3389,4/19/2004,5/6/2004,7/5/2004,Rayoso,Unassigned,Mendoza,349302.3878
8.79911E+13,V,a-13,Pata Mora (Z274),YPF SA,-37.13881028,-69.19432007,2427,7/7/2004,7/22/2004,9/23/2004,Unassigned,Unassigned,Mendoza,250475.2677
8.79911E+13,V,x-2,Cerro Liupuca (CELI),YPF SA,-36.64174579,-69.43765102,8727,10/15/2004,12/20/2004,2/11/2005,Vaca Muerta,Vaca Muerta,Mendoza,1204558.649
8.79911E+13,V,a-4,Desfiladero Bayo Este (Z120),YPF SA,-37.32138558,-68.94937296,5334,9/28/2003,10/27/2003,12/8/2003,Rayoso,Unassigned,Mendoza,738947.1034
8.79911E+13,V,IA-93(I),Desfiladero Bayo (DBA),YPF SA,-37.34871073,-69.02395965,3257,1/25/2004,2/7/2004,3/9/2004,Agrio,Unassigned,Mendoza,362667.4183
8.79911E+13,V,a-69,Puesto Hernandez (HER),YPF SA,-37.29018358,-68.9927267,4908,NULL,NULL,NULL,Rayoso,Unassigned,Mendoza,637994.3325
8.79911E+13,V,NDB-156,Desfiladero Bayo (DBA),YPF SA,-37.32403931,-69.03099009,3215,1/5/2003,1/19/2003,2/23/2003,Rayoso,Unassigned,Mendoza,363192.0735
8.79911E+13,V,NRBl-9,Rincon Blanco (RIBL),YPF SA,-37.12280519,-69.17511307,2893,5/9/2003,6/6/2003,6/28/2003,Unassigned,Unassigned,Mendoza,312840.29
8.79911E+13,V,NDB-153,Desfiladero Bayo (DBA),YPF SA,-37.33408746,-69.02766599,3313,6/28/2002,7/13/2002,8/1/2002,Rayoso,Unassigned,Mendoza,382373.4526
8.79911E+13,V,NDB-153,Desfiladero Bayo (DBA),YPF SA,-37.33408746,-69.02766599,3313,6/28/2002,7/13/2002,8/1/2002,Agrio,Unassigned,Mendoza,317656.7998
8.79911E+13,V,e-2,Rincon Blanco (RIBL),YPF SA,-37.11932272,-69.20628622,2975,9/14/2002,10/3/2002,10/30/2002,Agrio,Unassigned,Mendoza,348336.0212
8.79911E+13,V,e-2,Rincon Blanco (RIBL),YPF SA,-37.11932274,-69.20628583,2975,9/14/2002,10/3/2002,10/30/2002,Unassigned,Unassigned,Mendoza,303690.9481
8.79911E+13,V,a-201,Puesto Molina (PMO),YPF SA,-37.18147767,-69.1257984,3805,11/8/1998,11/27/1998,1/29/1999,Mulichinco,Unassigned,Mendoza,378526.3748
8.79911E+13,V,x-1001,Ca„ëadon Amarillo (CAM),YPF SA,-36.99443869,-69.38535149,7769,1/18/2003,2/17/2003,3/30/2003,Barda Negra,Unassigned,Mendoza,838271.9878
8.79911E+13,V,NCAm-1003,Ca„ëadon Amarillo (CAM),YPF SA,-36.98278211,-69.39790395,6627,12/5/1983,1/6/1984,1/31/1984,Mulichinco,Unassigned,Mendoza,578440.7118
